YahooEquiv,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Unnamed: 8,Yahoo_Equivalent_Code
JMTAUTOLTD.NS,JMTAUTOLTD,JMT Auto Limited,BE,02-Apr-07,1,1,INE988E01036,1,.NS,"'JMTAUTOLTD.NS',"
JUBILANT.NS,JUBILANT,Jubilant Life Sciences Limited,EQ,16-Jun-03,1,1,INE700A01033,1,.NS,"'JUBILANT.NS',"
JUMPNET.NS,JUMPNET,Jump Networks Limited,EQ,19-Aug-19,5,1,INE974C01022,5,.NS,"'JUMPNET.NS',"
KALPATPOWR.NS,KALPATPOWR,Kalpataru Power Transmission Limited,EQ,15-Dec-00,2,1,INE220B01022,2,.NS,"'KALPATPOWR.NS',"
KALYANI.NS,KALYANI,Kalyani Commercials Limited,BE,13-Feb-17,10,1,INE610E01010,10,.NS,"'KALYANI.NS',"
KARDA.NS,KARDA,Karda Constructions Limited,EQ,02-Apr-18,2,1,INE278R01026,2,.NS,"'KARDA.NS',"
KEERTI.NS,KEERTI,Keerti Knowledge and Skills Limited,EQ,13-Nov-20,10,1,INE586X01012,10,.NS,"'KEERTI.NS',"
KWALITY.NS,KWALITY,kwality limited,EQ,05-Jul-11,1,1,INE775B01025,1,.NS,"'KWALITY.NS',"
L&TFH.NS,L&TFH,L&T Finance Holdings Limited,EQ,12-Aug-11,10,1,INE498L01015,10,.NS,"'L&TFH.NS',"
LINCPEN.NS,LINCPEN,Linc Pen & Plastics Limited,EQ,09-Mar-15,10,1,INE802B01019,10,.NS,"'LINCPEN.NS',"
LSIL.NS,LSIL,Lloyds Steels Industries Limited,BE,18-Jul-16,1,1,INE093R01011,1,.NS,"'LSIL.NS',"
LTI.NS,LTI,Larsen & Toubro Infotech Limited,EQ,21-Jul-16,1,1,INE214T01019,1,.NS,"'LTI.NS',"
MAGMA.NS,MAGMA,Magma Fincorp Limited,EQ,27-Apr-04,2,1,INE511C01022,2,.NS,"'MAGMA.NS',"
MAHINDCIE.NS,MAHINDCIE,Mahindra CIE Automotive Limited,EQ,30-Aug-07,10,1,INE536H01010,10,.NS,"'MAHINDCIE.NS',"
MAJESCO.NS,MAJESCO,Majesco Limited,EQ,19-Aug-15,5,1,INE898S01029,5,.NS,"'MAJESCO.NS',"
MANGTIMBER.NS,MANGTIMBER,Mangalam Timber Products Limited,EQ,27-Jul-95,10,1,INE805B01012,10,.NS,"'MANGTIMBER.NS',"
MEGH.NS,MEGH,Meghmani Organics Limited,EQ,28-Jun-07,1,1,INE974H01013,1,.NS,"'MEGH.NS',"
MIC.NS,MIC,MIC Electronics Limited,BZ,30-May-07,2,1,INE287C01029,2,.NS,"'MIC.NS',"
MINDAIND.NS,MINDAIND,Minda Industries Limited,EQ,02-Feb-07,2,1,INE405E01023,2,.NS,"'MINDAIND.NS',"
MINDTREE.NS,MINDTREE,MindTree Limited,EQ,07-Mar-07,10,1,INE018I01017,10,.NS,"'MINDTREE.NS',"
MOHOTAIND.NS,MOHOTAIND,Mohota Industries Limited,BE,10-Apr-96,10,100,INE313D01013,10,.NS,"'MOHOTAIND.NS',"
MOTHERSUMI.NS,MOTHERSUMI,Motherson Sumi Systems Limited,EQ,14-Aug-96,1,1,INE775A01035,1,.NS,"'MOTHERSUMI.NS',"
MUKANDENGG.NS,MUKANDENGG,Mukand Engineers Limited,EQ,28-Jun-00,10,1,INE022B01014,10,.NS,"'MUKANDENGG.NS',"
NATNLSTEEL.NS,NATNLSTEEL,National Steel And Agro Industries Limited,BE,26-Sep-02,10,1,INE088B01015,10,.NS,"'NATNLSTEEL.NS',"
NBVENTURES.NS,NBVENTURES,Nava Bharat Ventures Limited,EQ,03-Apr-96,2,1,INE725A01022,2,.NS,"'NBVENTURES.NS',"
NIRAJISPAT.NS,NIRAJISPAT,Niraj Ispat Industries Limited,BE,27-Oct-16,10,1,INE326T01011,10,.NS,"'NIRAJISPAT.NS',"
NXTDIGITAL.NS,NXTDIGITAL,NXTDIGITAL LIMITED,EQ,24-Apr-07,10,1,INE353A01023,10,.NS,"'NXTDIGITAL.NS',"
OISL.NS,OISL,OCL Iron and Steel Limited,BZ,01-Aug-08,1,1,INE196J01019,1,.NS,"'OISL.NS',"
OMMETALS.NS,OMMETALS,OM Metals Infraprojects Limited,EQ,17-Jun-11,1,1,INE239D01028,1,.NS,"'OMMETALS.NS',"
ORIENTABRA.NS,ORIENTABRA,Orient Abrasives Limited,EQ,15-Dec-05,1,1,INE569C01020,1,.NS,"'ORIENTABRA.NS',"
ORIENTREF.NS,ORIENTREF,Orient Refractories Limited,EQ,12-Mar-12,1,1,INE743M01012,1,.NS,"'ORIENTREF.NS',"
PAEL.NS,PAEL,PAE Limited,BZ,12-Apr-95,10,1,INE766A01018,10,.NS,"'PAEL.NS',"
PARABDRUGS.NS,PARABDRUGS,Parabolic Drugs Limited,BZ,01-Jul-10,10,1,INE618H01016,10,.NS,"'PARABDRUGS.NS',"
PATSPINLTD.NS,PATSPINLTD,Patspin India Limited,BE,10-May-95,10,1,INE790C01014,10,.NS,"'PATSPINLTD.NS',"
